polski,angielski,głaskać,stroke
angielski,polski,shrink,kurczyć się
angielski,polski,uproar,wrzawa
angielski,polski,envelope,koperta
angielski,polski,emblem,godło
polski,angielski,kibic,waist
angielski,polski,supporter,kibic
angielski,polski,pedestrian,pieszy
angielski,polski,thighs,Uda
angielski,polski,neither,ani
angielski,polski,fond,czuły
polski,angielski,przeklinać,curse
polski,angielski,strzykawka,syringe
angielski,polski,idle,bezczynny
polski,angielski,pojutrze,day after tomorrow
polski,angielski,słabo,poorly
angielski,polski,faintly,słabo
angielski,polski,wander,zbłądzić
angielski,polski,stumble,potknąć się
angielski,polski,doer,sprawca
angielski,polski,deeds,czyny
polski,angielski,polerować,polish
angielski,polski,fetch,sprowadzać
polski,angielski,skojarzenie,association
polski,angielski,rym,rime
angielski,polski,peers,rówieśnicy
polski,angielski,godność,dignity
polski,angielski,delikatnie,gently
angielski,polski,softly,delikatnie
angielski,polski,blended,mieszany
angielski,polski,denoting,oznaczający
angielski,polski,denote,oznaczać
polski,angielski,odcięty,amputee
angielski,polski,pot,garnek
polski,angielski,pot,sweat
angielski,polski,sweat,pocić się
angielski,polski,regards,pozdrowienia
angielski,polski,evaluates,ocenia
angielski,polski,exaggerate,wyolbrzymiać
angielski,polski,compassion,współczucie
polski,angielski,słoma,straw
angielski,polski,persevere,wytrwać
angielski,polski,endure,znieść
angielski,polski,pavement,bruk
angielski,polski,grasp,chwycić
angielski,polski,embracing,ogarnięcie
polski,angielski,rynsztok,gutter
polski,angielski,odzyskać,recoup
niemiecki,polski,hues,odcienie
angielski,polski,scheme,schemat
angielski,polski,credentials,kwalifikacje
angielski,polski,sake,wzgląd
polski,angielski,przesadzić,transplant
angielski,polski,monk,mnich
polski,angielski,swieczka,candle
angielski,polski,offshoot,odgałęzienie
angielski,polski,sour,kwaśny
polski,angielski,przypadkowe,accidental
angielski,polski,ploy,taktyka
angielski,polski,vowels,samogłoski
angielski,polski,obey,być posłusznym
polski,angielski,wystaje z,sticking out of
angielski,polski,dime,moneta dziesięciocentowa
angielski,polski,troops,wojsko
angielski,polski,disturbing,niepokojące
angielski,polski,liver,wątróbka
angielski,polski,merchandise,towar
angielski,polski,moaning,beczenie
angielski,polski,devotion,poświęcenie
angielski,polski,prevent,zapobiec
angielski,polski,mercenary,najemnik
angielski,polski,spare,zapasowy
angielski,polski,prevail,panować
polski,angielski,rów,ditch
angielski,polski,sibling,rodzeństwo
polski,angielski,mroz,frost
angielski,polski,differ,różnić się
angielski,polski,seathed,przytwierdzony
polski,angielski,dzban,pitcher
angielski,polski,sight,widok
angielski,polski,ransacked,splądrowany
angielski,polski,reliable,niezawodny
angielski,polski,devours,pożera
angielski,polski,oath,przysięga
angielski,polski,humble,pokorny
angielski,polski,peasant,chłop
polski,angielski,omen,omen
polski,angielski,wrózba,omen
angielski,polski,dandelion,mniszek lekarski
angielski,polski,gathering,zebranie
angielski,polski,ill-temperd,zły temperament
angielski,polski,prior,wcześniejszy
angielski,polski,nails,paznokcie
angielski,polski,nail,gwóźdź
polski,angielski,nerka,kidney
angielski,polski,trousers,spodnie
angielski,polski,lit,oświetlony
angielski,polski,vain,próżny
angielski,polski,vain effort,próżny wysiłek
angielski,polski,Within,W ciągu
angielski,polski,fables,bajki
angielski,polski,concern,dotyczyć
polski,angielski,zachwycony,delighted
angielski,polski,flossy,elegancki
angielski,polski,contribution,wkład
polski,angielski,okres,period
angielski,polski,nasty,paskudny
angielski,polski,relentless,bezwzględny
angielski,polski,ruthless,bezwzględny
polski,angielski,Pilne,Urgent
angielski,polski,succinct,zwięzły
angielski,polski,furniture,meble
angielski,polski,slightly,nieco
angielski,polski,throughout,poprzez
angielski,polski,sophisticated,wyrafinowany
angielski,polski,dimensions,wymiary
angielski,polski,tilesets,zestawy klocków
angielski,polski,crop,przyciąć
angielski,polski,Explicit,Wyraźny
polski,angielski,niezadowolony,dissatisfied
angielski,polski,hassle,kłopot
angielski,polski,expendable,przeznaczony na stracenie
angielski,polski,coy,skromny
angielski,polski,spice,przyprawa
angielski,polski,establish,ustalić
angielski,polski,doable,wykonalny
angielski,polski,custody,opieka
angielski,polski,sued,pozwany
angielski,polski,harnessed,zaprzęgnięty
angielski,polski,gather,zbierać
angielski,polski,scrape,zeskrobać
angielski,polski,duller,ciemniejszy
polski,angielski,chmiel,hop
angielski,polski,laps,okrążenia
angielski,polski,crucial,istotny
angielski,polski,yawn,ziewać
angielski,polski,flimsy,słaby
angielski,polski,spooked out,wystraszony
angielski,polski,superstition,zabobon
angielski,polski,flock,trzoda
angielski,polski,lust,żądza
angielski,polski,conquer,podbić
polski,angielski,gorzki,bitter
polski,angielski,kwaśny,sour
polski,angielski,słony,salty
polski,angielski,pikantny,spicy
polski,angielski,łagodny,mild
polski,angielski,kropla,drop
polski,angielski,kroplówka,drip
angielski,polski,vulnerabilities,luki w zabezpieczeniach
angielski,polski,vulnerabilities,podatności
angielski,polski,stagger,zataczać się
polski,angielski,skrzyżowanie,intersection
polski,angielski,parapet,windowsill
angielski,polski,duffle,marynarka
angielski,polski,hearsay,pogłoska
angielski,polski,pierce,przebić
angielski,polski,pristine,dziewiczy
polski,angielski,jeż,hedgehog
angielski,polski,dispatch,wysyłka
angielski,polski,verbose,gadatliwy
angielski,polski,sufficient,wystarczający
polski,angielski,wydajny,efficient
angielski,polski,pipe,rura
angielski,polski,suite,zestaw
angielski,polski,TEARDOWN,ZBURZYĆ
angielski,polski,coverage,pokrycie
angielski,polski,shiver,dreszcz
angielski,polski,despise,gardzić
angielski,polski,deliberately,celowo
polski,angielski,literówka,typo
angielski,polski,villains,złoczyńcy
angielski,polski,valet,kamerdyner
angielski,polski,spine,kręgosłup
angielski,polski,outstanding,wybitny
polski,angielski,patelnia,pan
polski,angielski,doniczka,flowerpot
polski,angielski,obcy,foreign
angielski,polski,interrupted,przerwane
angielski,polski,pursuit,pościg
angielski,polski,guts,wnętrzności
angielski,polski,estate,majątek
angielski,polski,gnat,komar
angielski,polski,demise,zgon
angielski,polski,darn good,cholernie dobre
angielski,polski,temporaries,tymczasowe
angielski,polski,hollow,wydrążony
angielski,polski,robust,krzepki
niemiecki,polski,firefly,robaczek świętojański
angielski,polski,Headlong,Głową naprzód
angielski,polski,nifty,sprytny
angielski,polski,yield,wydajność
angielski,polski,extinct,wyginąć
angielski,polski,constraint,przymus
angielski,polski,mandatory,obowiązkowy
angielski,polski,ordinary,zwyczajny
angielski,polski,portable,przenośny
angielski,polski,TRIVIA,DROBNOSTKI
angielski,polski,plain,Równina
polski,angielski,zwykły,plain
angielski,polski,stripped,obnażony
angielski,polski,parallel,równolegle
polski,angielski,wędka,fishing rod
angielski,polski,carpentry,stolarstwo
angielski,polski,reinforcement,wzmocnienie
angielski,polski,capsize,wywrotka
angielski,polski,wading,brodzący
polski,angielski,gładki,plain
polski,angielski,szorstki,harsh
angielski,polski,horseback,grzbiet koński
polski,angielski,pół na pół,fifty fifty
angielski,polski,Breadcrumbs,Bułka tarta
polski,angielski,koło ratunkowe,Lifebuoy
angielski,polski,tenant,najemca
angielski,polski,The world is your oyster,Świat stoi przed Tobą otworem
angielski,polski,lease,wynajem
angielski,polski,translucent,przeświecający
angielski,polski,Signature,Podpis
angielski,polski,Nesting,Zagnieżdżanie
angielski,polski,tertiary,trzeciorzędowy
angielski,polski,genre,gatunek muzyczny
angielski,polski,remarkable,znakomity
niemiecki,polski,pretentious,pretensjonalny
polski,angielski,wyprzedzać,overtake
polski,angielski,zjeżdżalnia,slide
angielski,polski,sloth,lenistwo
angielski,polski,Lust,Żądza
angielski,polski,gluttony,obżarstwo
angielski,polski,wrath,gniew
angielski,polski,fluke,fuks
angielski,polski,presence,obecność
polski,angielski,przeczucie,hunch
polski,angielski,talerz,plate
polski,angielski,krawężnik,curb
polski,angielski,wynająć,rent
polski,angielski,ogrodzenie,fence
polski,angielski,żywopłot,hedge
polski,angielski,przystanek,bus stop
angielski,polski,diameter,średnica
angielski,polski,salve,maść
polski,angielski,maść,ointment
polski,angielski,syrop,syrup
angielski,polski,pant,dyszeć
angielski,polski,polyfills,wypełniacze
angielski,polski,solely,wyłącznie
angielski,polski,subtracting,odejmowanie
polski,angielski,podmuch,blast
polski,angielski,zgnieciony,crushed
polski,angielski,mielic,grind
polski,angielski,miotła,broom
polski,angielski,pień,trunk
polski,angielski,chwiać sie,to wobble
polski,angielski,chwiać,waver
angielski,polski,damn,cholerny
polski,angielski,ogrodzony,fenced
polski,angielski,plomba,seal
angielski,polski,zealous,gorliwy
polski,angielski,wahać się w granicach,range
polski,angielski,obrazić się,take offense
polski,angielski,wieszak,hanger
polski,angielski,łyk,sip
polski,angielski,drut,wire
angielski,polski,moss,mech
polski,angielski,puszka,tin
polski,angielski,dętka,tube
polski,angielski,pianka,foam
polski,angielski,przebity,pierced
polski,angielski,przebita dętka,pierced inner tube
angielski,polski,pierced,przebity
polski,angielski,rozdarty,torn
angielski,polski,rift,strzelanina
polski,angielski,smarować,lubricate
polski,angielski,wiertarka,drill
polski,angielski,obrus,tablecloth
polski,angielski,buda,hut
angielski,polski,secateur,sekator
polski,angielski,siano,hay
polski,angielski,piła,saw
angielski,polski,pile,stos
polski,angielski,hamak,hammock
polski,angielski,łodyga,stalk
angielski,polski,shaft,wał
polski,angielski,klamka,handle
polski,angielski,plama,stain
polski,angielski,metka,tag
polski,angielski,kilof,pick
angielski,polski,pickaxe,kilof
angielski,polski,prosperity,dobrobyt
polski,angielski,konewka,watering can
polski,angielski,wylać,pour out
polski,angielski,zgniły,rotten
polski,angielski,wysuszony,dried
polski,angielski,oś,axis
polski,angielski,dolegliwość,ailment
polski,angielski,wzruszony,moved
angielski,polski,im moved,jestem poruszony
polski,angielski,błotnik,fender
polski,angielski,miska,bowl
polski,angielski,tankować,refuel
polski,angielski,podnieś,pick up
polski,angielski,felga,rim
polski,angielski,karoseria,body
polski,angielski,próg,threshold
polski,angielski,sprężyna,spring
polski,angielski,huśtawka,swing
polski,angielski,materac,mattress
angielski,polski,durable,trwały
polski,angielski,trwały,lasting
angielski,polski,pledged,zastawiony
polski,angielski,kran,tap
polski,angielski,fuga,fugue
polski,angielski,płukać,rinse
angielski,polski,convenient,wygodna
polski,angielski,zemdleć,pass out
polski,angielski,zemdlał,fainted
polski,angielski,wybrzuszenie,bulge
polski,angielski,żyły,veins
angielski,polski,regarding,Jeżeli chodzi o
polski,angielski,podlać,water
angielski,polski,fraud,oszustwo
polski,angielski,gesty,dense
angielski,polski,sparse,rzadki
polski,angielski,zgiąć,flex
polski,angielski,przyczepa,trailer
polski,angielski,Łopata,Shovel
polski,angielski,machać,wave
polski,angielski,opierać sie,based
polski,angielski,pęknięcie,rupture
polski,angielski,egzaltowany,exalted
polski,angielski,czkawka,hiccup
polski,angielski,wypełnić,fill
polski,angielski,hodować,breed
polski,angielski,celnie,accurately
angielski,polski,curfew,godzina policyjna
angielski,polski,dumped,porzucony
angielski,polski,despaired,zrozpaczony
angielski,polski,senile,starczy
angielski,polski,rabis,wścieklizna
angielski,polski,mall,centrum handlowe
angielski,polski,permit,pozwolić
angielski,polski,starcourt,gwiazdozbiór
angielski,polski,thriling,porywający
polski,angielski,błoto,mud
angielski,polski,forbid,zabraniać
angielski,polski,takedown,zdjąć
angielski,polski,venomous,jadowity
angielski,polski,coincidence,zbieg okoliczności
angielski,polski,cranky,zepsuty
angielski,polski,surface,powierzchnia
angielski,polski,scum,szumowiny
angielski,polski,spare me,Oszczędź mnie
angielski,polski,uterly,całkowicie
angielski,polski,mortifyingly,śmiertelnie
